ahkr201,Praksis i arbeidslivet
sant103,"Materialitet: miljø, stad og økonomi"
sant104,"Kultur, meining og kommunikasjon"
sant105,"Politikk, makt og motstand"
sant106,Sosialt liv i globalt perspektiv
sant107,"Materialitet: miljø, stad og økonomi"
sant108,Etnografi i praksis
sant150,"Akademisk skriving, teori og metode: antropologiske tilnærmingar"
sant215,Komparativ regional etnografi
sant240,"Poverty, Welfare and Marginalisation: An Ethnographic Approach to Modern Urban Life"
sant260,Bacheloroppgåve
sant270,Sommerskule i antropologiske forskingsmetodar
sant275,Etnografi i praksis
sant280-15,The Frontier of Anthropological Research: Anthropology of humanitarianism
sant285-10,Current Anthropological Research: New Technologies and the Future of the Human
sant285-12,Current Anthropological Research: The Class on Class: Towards an Anthropology of Capitalism
sant285-13,Current Anthropological Research: Ocean Anthropology
sant285-7,Current Anthropological Research: Schnitzel in a Pita with Hummus: The Anthropology of Israeli/Palestinian Food
sant285-8,Current Anthropological Research: Anthropology of Displacement
sant285-9,Current Anthropological Research: Sensory Worlds Across Times and Cultures
sant300,Antropologisk kunnskapsproduksjon og etnografisk praksis
sant302,Individuell prosjektutvikling
sant310-1,Current Anthropological Research: Anthropology of Displacement
sant310-2,Current Anthropological Research: Sensory Worlds Across Times and Cultures
sant310-3,Current Anthropological Research: New Technologies and the Future of the Human
sant310-4,Current Anthropological Research: The Class on Class: Towards an Anthropology of Capitalism
sant310-5,Current Anthropological Research: Ocean Anthropology
sant320,Praktisk metodekurs: Antropologisk feltarbeid
sant350,Masteroppgåve
sant660,Fleirkulturell forståing og kommunikasjon
sant909,Anthropology of life: Contemporary Anthropologies of More-Than-Human Socialities
sap100,Språkstudentar i arbeidspraksis
sas13,Norwegian Culture and History - Scandinavian Area Studies
sas2a,Scandinavian Literature - 19th Century  - Scandinavian Area Studies
sas2b,Scandinavian Literature - 20th and 21st Century Scandinavian Area Studies
sdg200,Hav-klima-samfunn: Semesteremne i bærekraft
sdg207,Energiomstilling
sdg213,Klimaendringar - årsaker og konsekvensar
sdg214,FNs Bærekraftsmål 14: Liv i havet
sdg215,FNs Bærekraftsmål 15: Liv på land
sdg303,Global health - challenges and responses
sdg310,Introduksjonsemne: Tverrfaglege tilnærmingar til berekraft
sdg311,Kunnskapsformer
sdg312,Systemtenking og modellering for berekraft
sdg313,"Klimahandling feltkurs: årsaker, konsekvenser og løsninger på klimautfordringene"
sdg314,SDG314 Metodar og prosjektutvikling i tverrfagleg berekraftsforsking 
sdg349,Praksisopphald
sdg350,Masteroppgåve
sdg351,Praksisbasert masteroppgåve
sdg607,Energiomstilling
sdg613,"Berekraftig utvikling, klima og klimahandling"
sdg617,Energiomstilling og bærekraft for finansnæringa
sdg900,PhD for Innovation. Interdisciplinary course from systems thinking through creative problem-solving to R&D management
sdg928,Beredskap for helsekriser: ei multidisiplinær tilnærming
sek100,Samanliknande europeiske kulturstudium
sek600,"Samanliknande europeiske kulturstudium, nettbasert"
slan640,Fordjupning i spansk språk
slan641,Fordjupning i latinamerikansk litteratur
slan642,Fordjupning i latinamerikansk kulturkunnskap
sos100a,Innføring i sosiologi med fordjupingstema
sos100b,Innføring i sosiologi
sos101,Klassisk og moderne sosiologisk teori
sos103,Samfunnsstrukturer i endring
sos103-l,Samfunnsstrukturer i endring
sos105,Arbeid under kapitalismen
sos105-l,Arbeid under kapitalismen
sos111,Familien i endring
sos113,Velferd og ulikhet
sos113-l,Velferd og ulikhet
sos116,"Klasse, stratifikasjon og sosial mobilitet"
sos119,Global Cities: An Introduction to Urban Sociology for the 21st Century
sos120,Digital Sociology
sos121,Klassiske sosiologiske teoriar
sos122,Nyare sosiologiske teoriar
sos123,Det norske samfunn i endring
sos131,Familien i endring
sos132,Å forklare sosial handling
sos133,Velferd og ulikhet
sos134,Digital Sociology
sos135,Global Cities
sos136,"Klasse, stratifikasjon og sosial mobilitet"
sos137,Migrasjon og ulikhet i mangfoldige samfunn
sos138,Diversity and organization in universities
sos149,Å forklare sosial handling
sos201,Sosiologisk forsking: Teori og metode
sos202,Bacheloroppgåve i sosiologi
sos202-l,Bacheloroppgåve i sosiologi
sos203,Sosiologisk forsking: Teori og metode
sos204,Bacheloroppgåve i sosiologi
sos301,Sosiologisk analyse
sos302,Sosiologiske teoritradisjonar 
sos303,Metode - statistisk analyse
sos304,Metode - kvalitative tilnærmingar
sos320,"Velferd, ulikskap og livsløp"
sos321,"Migrasjon, integrasjon og mobilitet"
sos322,"Arbeid, klasse og utdanning"
sos340,Prosjektutvikling
sos340-l,Prosjektutvikling 
sos360,Masteroppgåva
spandi101,Fagdidaktikk i spansk i lektorutdanninga 1
spandi111,Fagdidaktikk i spansk for lektorutdanninga 3
spandi201,Fagdidaktikk i spansk for lektorutdanninga 2
spandi301,Fagdidaktikk i spansk for lektorutdanninga 3
spansk621,"Spansk 1a: Språklæring, spansk språk og kommunikasjon"
spansk622,"Spansk 1b: Spansk språk, kultur og samfunn  "
sped100,Innføring i spesialpedagogikk
sped102,"Observasjon, kartlegging og tiltak i barnehagen"
sped103,Samarbeid rundt funksjonshindra barn og unge
sped200,Profesjonstenkning - lovverk og etikk i teori og praksis
sped201,"Språk, lesing og skriving ¿ utvikling , vanskar og tiltak"
sped211,Lese- og skrivevanskar
sped250,Bacheloroppgåve i spesialpedagogikk
sped311,Spesialpedagogisk grunnlagstenking
sped312,Forskingsmetode
sped315,Opplæring og undervisning for barn og elevar med ekstraordinært læringspotensial
sped316,Systemarbeid og kartlegging
sped317,Spesialpedagogisk rådgjeving i teori og praksis
sped395,Masteroppgåve i spesialpedagogikk
spla100,Introduksjon til spansk og latinamerikastudium
spla106,Spansk kulturkunnskap
spla107,Spansk grammatikk I
spla108,"Kultur, historie og litteratur: Latinamerikanske revolusjonar"
spla109,Latinamerikansk historie og kultur
spla110,Spansk i kontekst
spla117,Spansk II
spla118,"Kultur, historie og litteratur: menneske og miljø i Latin-Amerika"
spla119,"Kultur, historie og litteratur: Latin-Amerika i den globale verda"
spla207,Fordjuping i spansk grammatikk med latinamerikanske variantar
spla208,Fordjuping i latinamerikansk litteratur og kultur
spla209,Fordjuping i latinamerikansk kulturkunnskap
spla256,"Moderne litteratur, historie og kultur i Spania med bacheloroppgåve"
spla257,Fordjuping i spansk grammatikk med latinamerikanske variantar med bacheloroppgåve
spla258,Fordjuping i latinamerikansk litteratur og kultur med bacheloroppgåve
spla259,Fordjuping i latinamerikansk kulturkunnskap med bacheloroppgåve
spla311,Trendar i moderne spansk lingvistikk: teori og metode
spla312,Latinamerikansk litteratur: tilnærmingar og metodar
spla313,Stemmer i latinamerikansk historie
spla313l,Metode i latinamerikansk historie
spla314,Prosjektdesign og forskingsformidling for latinamerikastudium
spla315,Spesialisering i latinamerikastudium
spla350,Mastergradsoppåve i spansk og latinamerikastudium
spla627,Spansk grammatikk I (nett)
spla628,Latinamerikansk litteratur og kultur I (nett)
spla629,Latinamerikansk historie (nett)
spla637,Spansk II
spla638,Latinamerikansk litteratur og kultur II (nett)
spla639,Kultur og samfunn i Latin-Amerika (nett)
stat101,Elementær statistikk
stat110,Grunnkurs i statistikk
stat111,Statistiske metodar
stat200,Anvendt statistikk
stat201,Generaliserte lineære modellar
stat202,Biostatistikk
stat210,Statistisk inferensteori
stat211,Tidsrekkjer 
stat220,Stokastiske prosessar
stat221,Sannsynsrekning
stat230,Livsforsikringsmatematikk
stat231,Skadeforsikringsmatematikk og risikoteori
stat240,Finansteori
stat250,Monte Carlo metodar og Bayesiansk statistikk
stat260,Statistisk læring
stat292,Prosjektarbeid i statistikk
stat310,Multivariabel statistisk analyse
stat330,Utvalde emne i statistikk
stat399,Masteroppgåve i statistikk
stat399k,Masteroppgåve i statistikk
stat621,Introduksjon til Data Science med R
stat622,Grunnkurs i statistikk
stat623,Data Science med R - anvendt prediktiv modellering
stat624,Statistiske metodar
stat640,Avansert dataananlyse med R
statovlev,Overlevingsanalyse
statphd900,Anvendt statistikk
statphd902,Biostatistikk
statphd950,Monte Carlo metodar og Bayesiansk statistikk
statrisk,Statistisk risikostyring
statrom,Romleg statistikk
teat111,Eldre teaterhistorie
teat112,Moderne teaterhistorie
teat113,Dramaturgi i teori og praksis
teat115,Framsyningsanalyse og teaterkritikk
teat211,Teaterestetikk og teaterteori
teat252,Teoribasert bacheloroppgåve
teat253,Praksisbasert bacheloroppgåve
teat301,Teaterhistorie: Historiografi og forskingsmetoder
teat302,Teatervitskap: Prosjektskildring
teat303,Teatervitskap: Dramaturgisk fordjuping
teat310,Yrkesrelatert praksis
teat311,Teatervitskap: Seminarinnlegg innafor eit sjølvvalt område
teat350,Masteroppgåve i teatervitskap
tpbaalm,Allmennodontologi
tpbafar,Farmakologi
tpbaferd,Ferdighetskurs
tpbafob,Odontofobi
tpbafor-k1,Førebyggjande tannhelsearbeid; vaksentannpleie kull 1
tpbafor-k2,Førebyggjande tannhelsearbeid; vaksentannpleie kull 2
tpbafor-k3,Førebyggjande tannhelsearbeid; vaksentannpleie kull 3
tpbaforiii,Klinisk innføringskurs del I og II
tpbainfil,Kurs i infiltrasjonsanestesi 
tpbakarend,Kariologi og endodonti 
tpbakbk,Kjemi og biokjemi
tpbakje,Kjeveortopedi
tpbakos,Kjeve- og slimhinnelidelser
tpbamat,Odontologiske biomaterialer
tpbamikr,Mikrobiologi og hygiene
tpbapat,Patologi generell 
tpbaped,Pedodonti + godkjent klinikk
tpbapedpsy,Pedagogikk og psykologi
tpbaper,Periodonti
tpbaproger,Protetikk og gerodontologi + godkjent klinikk
tpbaprosj,Prosjektoppgåve
tpbaron,Røntgenologi
tpbasam,Samfunnsodontologi med praksisstudiet
tpbatana,Tannanatomi og oral biologi
tsak319,Masteremne i tysk språkvitskap
tveps,Tverrprofesjonell læring
tvp100,Introduksjon til tv-produksjon og akademisk skriving
tvp102,Det visuelle språket
tvp104,Dokumentariske produksjonar
tvp204,Fordjuping i fagfunksjon
tvp260,Bachelorproduksjon
tvp261,Utplassering
tys100,Introduksjon til tyskstudiet
tys105,Grunnemne i tysk språk I
tys106,Tyskspråkleg kultur og historie
tys107,Tysk språk og tekstkunnskap
tys108,Nyare tyskspråkleg litteratur
tys115,Grunnemne i tysk språk II
tys118,Eldre tyskspråkleg litteratur
tys201,Fordjuping i tysk språk 
tys205,Fordjuping i tysk språk
tys206,Fordjuping i tyskspråkleg litteratur
tys251,Fordjuping i tysk språk med semesteroppgåve
tys251l,Fordjuping i tysk språk med semesteroppgåve for lektorstudentar
tys255,Bacheloroppgåve i tysk
tys256,Fordjuping i tyskspråkleg litteratur med semesteroppgåve
tys307,Tysk språk og litteraturvitskap
tys307l,Tysk språk og litteraturvitskap for lektorstudentar
tys308,"Litteratur, interpretasjon og omsetjing"
tys308l,"Litteratur, interpretasjon og omsetjing for lektorstudentar"
tys309,Masteremne i tyskspråkleg litteratur
tys311,Moderne tysk språk og litteratur
tys311l,Moderne tysk språk og litteratur for lektorstudentar
tys319,Masteremne i tysk språkvitskap
tys350,Tysk mastergradsoppgåve 
tys625,"Grunnemne i tysk språk I, nettbasert"
tys626,"Tyskspråkleg kultur og historie, nettbasert"
tys627,"Tysk språk og tekstkunnskap, nettbasert"
tys628,"Nyare tyskspråkleg litteratur, nettbasert"
tys635,"Grunnemne i tysk språk II, nettbasert"
tys638,"Eldre tyskspråkleg litteratur, nettbasert"
tysdi101,Fagdidaktikk i tysk i lektorutdanninga 1
tysdi111,Fagdidaktikk i tysk i lektorutdanningen 3
tysdi201,Fagdidaktikk i tysk for lektorutdanninga 2
tysdi301,Fagdidaktikk i tysk for integrert lektorutdanning 3
tysk621,"Tysk 1a: Språk, kultur og framandspråksdidaktikk"
tysk622,"Tysk 1b: Språk, kultur og digital kompetanse"
ujo301,Gravejournalistikken sitt grunnlag
ujo304,Prosjektdesign
ujo350,Masteroppgåve i undersøkande journalistikk
ujo601,Introduksjon til undersøkande journalistikk
ujo660,Frå idé til publisering
ujo661,Reportasjeleiing i undersøkande journalistikk
ujo662,Avansert research i undersøkande journalistikk
ujo663,Historieforteljing i undersøkande journalistikk
ujo664,"Datajournalistikk, store data og digitale verktøy"
ujo665,Programmering i Python
ujo666,Metoderapport - kritiske og praktiske perspektiv
ujo667,Etikk i undersøkande journalistikk
ujo668,"Teknologi, kunstig intelligens og gravejournalistikk"
ujo670,Masteroppgåve i gravejournalistikk
uped600,Introduksjon til universitetsundervising og kursdesign (24 timer)
uped620,Basismodul i universitetspedagogikk
uped621,Vurdering og vurderingsformer
uped622,Forskingsrettleiing
uped623,Munnleg formidling
uped631,Hot moments in teaching and learning
uped632,Enhansing Courses with Online Materials and Tools
uped633,Interaktiv undervisning med bruk av responssystemer
uped635,Pedagogisk kurs for studieadministrative tilsette
uped636,How to Design and Teach Blended Courses
uped637,How to Create Effective Instructional Videos
uped638,Gruppelederopplæring
uped650,Online and Blended Learning (30 hours)
uped652,Advanced teaching in Mitt UiB
uped654,Creative uses of Media for Learning (15 timer)
uped655,Student-response systems (15 timer)
uped660,PhD Supervision
uped661a,Spesial Topic on Assessing Student Learning: Rubrics (15 hours)
uped661b,Spesial Topic on Assessing Student Learning: Continuous Assessment (15 hours)
uped662,Using Peer Feedback to Enhance Learning (15 hours)
uped670,Hot Moments in Teaching and Learnig
uped671,Universal Design for Learning Instructional Practices (15 timer)
uped672,Universal Design for Learning Instruction and Assessment (30 hours)
uped680,Team-Based Learning (30 hours)
uped682,Interactive Teaching (15 hours)
uped694b,Ph.D. Supervision (30 hours)
upsh301,"Ulike perspektiv på sentrale helseutfordringer, del 1 "
upsh302,"Ulike perspektiv på sentrale helseutfordringer, del 2"
vac901,Vaccinology
vis100,Element og prinsipp i visuell kommunikasjon
vis110,Typografi og meningsskaping
vis120,Tidsbaserte uttrykk og interaksjon
vis131,Visuell identitet
vis200,Designsystemer og interaksjon
vis211,Redaksjonell design og designjournalisme
vis234,Profilering
vis235,Illustrasjon
vis240,Portfolio og formidling
vis245,Selvvalgt prosjekt i visuell kommunikasjon
vis246,Materialbasert design
vis251,Bachelorprosjekt visuell kommunikasjon
vit201,Forskingsprosjekt i vitskapsteori/vitskapsstudium
vit210,Sentrale spørsmål i forsking og samfunn. Menneske: Natur og kultur
vit211,"Sentrale spørsmål i forskning og samfunn: Global helse: Etikk, politikk og menneskerettigheter"
vit212,Sentrale spørsmål i forsking og samfunn: Klima: Hva vet vi? Hva bør vi gjøre?
vit214,Sentrale spørsmål i forsking og samfunn: Noregs grunnlov: Kva er den? Korleis bør den være?
vit215,Sentrale spørsmål i forskning og samfunn: Menneske på flukt. Kva veit vi og kva bør vi gjere?
vit216,"Sentrale spørsmål i forsking og samfunn: Kunstig intelligens: Visjonar, realitetar og framtidige konsekvensar"
vit217,Pandemier: Kva veit vi? Kva kan vi gjere?
vit218,Sentrale spørsmål i forsking og samfunn: Liding
vitsv900,Philosophy and Ethics of Social Sciences
wngerii900,Litteraturreview på ph.d-nivå
wngerii901,"Writing the Synopsis in a Doctoral Thesis
"
wngerii902,Forskingsetikk
wngerii903,Mixed Method Research
wngerii904,Introduction to Meta Analysis
wngerii905,"Analyse, etikk og refleksivitet i kvalitativ forsking"
wngerii906,Academic writing: How to write scientific articles in educational research 
wngerii907,The use of theory within educational research
wngerii908,Qualitative research with NVivo 
wngerii909,Qualitative case study research 
wngerii910,Evidensbasert praksis og profesjonsutøving ¿ kritiske perspektiv
zor200,Summer School in Zoroastrian Studies
zor201,Summer Course in Zoroastrian Studies
